sex_male,race_white,employed_yes,years_experience,experience_category,referred,a_levels,gcse,russel_group,honours,years_volunteer,income,it_skills,years_holes,quality_cv
1,1,1,5,4-6,1,2,7,0,0,2,35962.43000783283,3,0,1
0,0,1,7,>=6,1,2,8,0,0,1,20840.68428752609,1,2,2
1,1,1,3,2-4,1,1,3,0,0,2,44897.799416394075,2,0,3
1,0,0,5,4-6,1,0,5,0,0,1,10556.531420028892,1,0,2
0,0,1,3,2-4,1,2,6,0,0,0,27057.47847277126,2,0,1
1,1,1,2,2-4,1,3,7,0,0,1,22702.708669296393,3,0,3
0,1,0,4,4-6,0,1,2,0,0,1,29128.457031621358,0,3,2
0,1,1,1,0-2,0,2,4,0,0,1,3535.6410198251615,3,0,1
0,1,0,1,0-2,1,3,10,0,1,2,21379.465651477774,2,1,2
0,1,0,2,2-4,0,1,5,0,0,0,21339.044967794754,2,2,0
0,1,0,3,2-4,0,2,5,0,0,2,33309.32268139863,2,1,2
0,0,1,2,2-4,0,1,4,0,0,0,23290.90683160969,1,0,2
0,0,1,3,2-4,1,2,6,0,0,0,18491.927488696627,1,1,3
1,0,0,0,0-2,1,1,7,0,0,0,39931.00029308965,1,0,1
0,0,0,4,4-6,0,1,5,0,0,1,1861.990948595816,1,3,0
0,1,0,2,2-4,1,3,8,0,0,0,14972.099132755724,0,1,2
1,1,1,2,2-4,1,4,9,1,0,0,41742.71835854325,3,0,3
1,1,1,4,4-6,1,3,7,0,0,0,50359.40453526705,3,0,2
1,1,0,2,2-4,1,1,4,0,0,0,15403.948660151249,1,0,3
1,0,1,4,4-6,1,4,6,1,0,3,25757.117422977804,3,0,3
1,1,1,3,2-4,1,2,6,0,1,1,78743.97866166003,2,0,1
1,0,1,8,>=6,1,2,5,0,1,0,48801.05297314493,3,1,2
0,1,0,2,2-4,0,3,7,0,0,0,50592.038122764636,1,1,2
1,1,1,2,2-4,1,2,7,0,1,0,66845.56406960965,2,0,3
1,0,1,10,>=6,0,2,7,0,0,0,44570.51246581206,3,1,2
0,0,0,2,2-4,0,2,7,0,0,1,18452.917481612643,0,1,2
1,1,1,9,>=6,1,2,4,0,0,0,51296.800785974694,3,0,3
0,0,0,1,0-2,0,3,5,0,0,0,32045.57341966248,1,2,0
0,0,0,0,0-2,0,2,5,0,0,2,24643.737576627333,1,0,2
1,0,1,3,2-4,1,3,7,0,1,2,20529.606679852823,3,0,3
1,1,1,8,>=6,1,3,7,0,1,1,37010.18850633891,2,0,2
0,1,0,1,0-2,0,2,5,0,0,0,8034.516789210411,0,2,3
0,0,0,2,2-4,0,3,7,0,0,0,11407.89844068677,0,2,2
0,1,1,4,4-6,1,3,5,0,0,3,40581.128083380805,3,0,2
0,1,1,7,>=6,1,3,8,0,0,1,39628.19528522095,1,0,1
0,1,1,3,2-4,0,4,6,1,1,1,34138.61851070015,2,1,2
0,0,1,9,>=6,1,3,6,0,0,2,57234.42487286271,1,0,3
0,0,0,5,4-6,0,0,7,0,0,0,42560.414178416395,1,1,1
1,1,1,3,2-4,1,2,5,0,1,0,56422.37947527898,2,0,2
1,1,1,5,4-6,1,3,10,0,0,0,11332.341056989993,3,0,2
1,0,0,2,2-4,0,1,4,0,0,0,30540.9329306024,1,0,1
1,0,0,1,0-2,0,0,1,0,0,0,45959.48624575458,3,0,2
1,0,1,4,4-6,1,3,9,0,0,2,22354.88630245514,3,0,2
0,0,0,3,2-4,0,2,8,0,0,2,36985.86126738734,0,1,2
0,1,1,5,4-6,0,1,5,0,0,0,42368.57387326708,1,0,2
0,0,0,1,0-2,0,1,2,0,0,1,28834.4835194869,0,0,2
1,0,1,5,4-6,1,1,5,0,0,1,41690.754709645655,1,0,2
1,1,1,4,4-6,1,4,8,1,0,0,63672.44852152999,3,0,2
0,0,0,1,0-2,1,3,8,0,0,0,14479.707157991532,1,0,0
1,1,1,5,4-6,1,3,7,0,0,0,69714.51435704679,1,0,3
0,1,0,0,0-2,0,1,5,0,0,0,15343.486777824328,0,1,2
0,0,0,3,2-4,1,0,4,0,0,0,30702.20412593689,0,1,2
0,1,0,2,2-4,1,3,7,0,1,0,48405.6772714711,2,0,0
0,0,0,1,0-2,0,3,9,0,0,1,30116.61217189594,1,0,2
0,0,1,3,2-4,0,2,7,0,0,3,20329.106177062633,0,0,0
1,0,0,1,0-2,0,2,6,0,0,0,45115.46804001721,1,1,1
0,1,0,5,4-6,1,3,7,0,0,0,45469.020524686115,1,0,3
0,1,1,6,>=6,0,3,6,0,1,0,18379.080356324564,3,0,2
0,1,1,3,2-4,1,3,8,0,1,1,48227.97079992178,2,0,2
0,1,1,2,2-4,0,2,10,0,0,0,24994.413034429122,1,2,2
1,1,1,3,2-4,1,3,7,0,1,1,16529.07003252528,3,0,2
1,1,1,2,2-4,1,4,9,1,1,3,66591.06677283099,3,0,3
0,0,0,1,0-2,0,2,5,0,0,0,37227.88979912763,2,1,2
0,0,0,2,2-4,1,0,4,0,0,2,35558.041103939366,0,1,1
1,1,1,5,4-6,1,4,7,1,0,1,47119.024911065324,1,0,2
1,1,1,5,4-6,1,3,8,0,1,0,36246.2025042471,3,0,2
0,1,0,1,0-2,0,3,8,0,0,0,43806.808350074,0,2,1
0,1,1,4,4-6,1,3,5,0,1,2,36643.19805145991,2,1,3
1,1,1,3,2-4,1,4,10,1,1,2,62832.3438749839,2,0,3
1,1,1,4,4-6,1,4,8,1,0,2,46918.27958800788,2,0,2
1,1,1,6,>=6,1,4,9,1,0,0,51993.08527057914,3,0,3
1,0,0,9,>=6,1,1,5,0,0,0,46395.16048883402,2,0,3
0,0,0,1,0-2,0,2,5,0,0,0,9340.91032754207,0,0,2
0,0,1,1,0-2,0,1,6,0,0,0,43604.818054654694,0,3,1
0,0,0,1,0-2,1,2,7,0,0,0,6983.444948630629,0,0,1
0,0,1,3,2-4,1,3,6,0,1,0,26889.138149846192,2,0,2
1,0,0,3,2-4,0,1,7,0,0,0,16725.11561775181,3,0,2
1,1,0,2,2-4,1,4,8,0,0,2,22445.286010055075,1,0,2
1,1,0,4,4-6,0,2,3,0,0,0,17998.009663456196,3,2,2
0,0,0,3,2-4,0,1,4,0,0,1,0,2,2,3
1,0,1,3,2-4,1,3,5,0,1,0,18639.9093381244,3,1,3
1,0,1,5,4-6,1,1,6,0,0,0,56865.40547585772,3,0,2
0,1,1,5,4-6,0,3,6,0,0,2,53786.818019679544,0,0,1
0,1,0,1,0-2,1,2,2,0,0,2,17663.427945481424,0,0,1
1,0,1,5,4-6,1,2,5,0,0,0,31982.405064390634,3,0,1
1,0,1,0,0-2,0,1,7,0,0,2,36021.396932761025,3,0,2
0,0,1,1,0-2,0,0,3,0,0,0,45694.278004539694,0,3,2
1,1,1,3,2-4,1,4,8,1,0,0,43574.68550163118,3,0,2
1,1,1,2,2-4,1,3,9,0,0,2,38637.21199414734,2,0,2
1,0,0,3,2-4,1,1,4,0,0,0,30007.53490886449,3,1,1
1,0,0,3,2-4,0,1,6,0,1,1,61867.97450011005,2,4,3
1,0,0,2,2-4,1,1,4,0,0,1,8326.246682862638,3,1,1
1,0,0,2,2-4,1,2,7,0,0,0,33863.76760854994,1,0,0
1,0,0,1,0-2,0,0,6,0,0,0,40547.38488147926,2,3,2
0,1,0,1,0-2,0,1,3,0,0,0,32271.83379920209,0,2,1
1,0,1,2,2-4,1,3,4,0,1,1,35921.676373728056,2,0,2
1,0,0,0,0-2,0,0,5,0,0,0,33942.47198292724,2,1,2
1,0,0,2,2-4,1,2,10,0,0,0,20872.551563204688,0,1,2
1,0,1,7,>=6,1,3,9,0,1,1,50350.85159083507,3,0,3
0,0,0,3,2-4,0,2,5,0,0,1,35063.594388869664,0,2,0
0,1,0,3,2-4,0,2,7,0,0,0,22364.236688903162,1,0,1
0,1,0,4,4-6,1,2,5,0,0,0,26504.539385635053,0,1,3
1,0,1,6,>=6,1,4,9,1,1,0,39951.95102966879,3,1,2
0,1,0,0,0-2,0,1,2,0,1,0,31168.14152500155,1,0,1
0,1,1,2,2-4,1,4,9,1,0,2,58293.68715944404,1,1,1
0,1,0,1,0-2,0,2,9,0,0,0,25201.67638237364,0,1,1
1,1,0,1,0-2,1,2,8,0,0,3,48947.82780017155,2,0,0
1,1,1,7,>=6,1,1,4,0,0,1,77958.54245821352,3,0,2
1,0,0,4,4-6,1,2,8,0,0,0,43871.6259239787,2,0,2
0,0,0,2,2-4,0,3,6,0,0,0,52685.39834637334,1,1,0
0,0,1,2,2-4,0,1,7,0,0,3,38135.1283738522,0,1,3
1,0,1,3,2-4,1,2,7,0,0,1,27280.660473954696,3,1,2
1,0,1,5,4-6,1,2,4,0,1,0,14977.843599306027,2,0,2
0,0,0,2,2-4,0,3,8,0,0,1,24514.529715679066,0,0,2
0,1,1,2,2-4,1,1,4,0,0,0,40108.47713676269,2,2,3
0,1,1,7,>=6,0,4,8,1,0,0,14004.62433749119,2,1,2
1,1,0,3,2-4,0,1,4,0,0,0,46922.01875841008,2,0,1
0,0,1,1,0-2,0,1,5,0,0,0,28087.627567779462,1,3,2
1,1,1,3,2-4,1,1,5,0,1,1,56377.558331201275,3,0,3
1,0,1,5,4-6,1,3,5,0,1,0,41656.86155993586,3,0,3
1,1,1,5,4-6,1,3,10,0,0,0,43448.56505301892,3,0,3
0,0,1,4,4-6,0,2,6,0,1,0,26995.33074958846,0,2,3
1,0,1,6,>=6,1,2,6,0,0,0,38409.27512194534,3,0,3
0,1,0,1,0-2,0,2,6,0,0,0,10083.653931156183,1,0,2
1,0,0,2,2-4,0,2,5,0,0,1,33659.488816091085,1,1,1
0,1,1,6,>=6,1,3,3,0,1,0,35276.782874682074,2,2,3
1,1,1,9,>=6,1,3,8,0,1,0,27203.03177404467,2,0,2
1,0,1,7,>=6,1,4,8,1,1,0,26620.57242279626,2,0,3
1,1,1,2,2-4,1,3,8,0,1,1,32567.75310967074,3,0,2
1,0,0,4,4-6,1,0,3,0,0,0,34443.8096558501,3,1,2
0,0,1,1,0-2,0,1,7,0,0,0,33654.77216680482,0,1,1
1,1,1,6,>=6,1,1,6,0,0,2,70591.31695864303,3,0,2
0,1,0,2,2-4,0,0,6,0,0,0,21727.462678777134,1,1,2
1,1,0,0,0-2,1,2,7,0,0,0,20485.6540862447,2,0,3
0,1,0,0,0-2,1,1,7,0,0,1,0,0,1,2
0,0,0,2,2-4,0,3,8,0,0,1,12798.710166572972,1,1,2
0,1,1,3,2-4,0,2,4,0,0,0,43611.81946353615,1,1,3
0,0,0,4,4-6,0,0,3,0,0,1,23787.002177659742,2,1,3
0,0,0,1,0-2,0,1,4,0,0,0,16380.263701382204,0,0,0
1,1,0,1,0-2,1,0,7,0,0,0,15089.847049713717,0,0,1
1,1,1,8,>=6,1,3,8,0,0,0,58953.00483722813,3,0,3
0,1,1,4,4-6,0,3,8,0,0,1,43754.108701762736,1,1,2
0,1,1,4,4-6,0,2,7,0,0,0,30020.547021604194,2,0,2
1,0,1,4,4-6,0,4,7,1,1,2,48073.0274969237,2,0,3
1,1,1,4,4-6,1,1,4,0,1,2,58046.185077548485,3,0,1
0,1,1,4,4-6,1,2,5,0,0,1,20709.72720164369,2,1,3
0,1,0,0,0-2,1,2,5,0,0,1,25158.095248813235,0,2,2
0,1,1,4,4-6,0,4,8,1,0,1,47435.2321529739,2,0,2
1,1,1,5,4-6,1,2,7,0,0,3,31848.702836320732,3,0,1
1,1,1,1,0-2,1,3,7,0,1,0,29421.229895816676,3,0,3
1,0,1,0,0-2,0,0,7,0,0,0,40753.3361397089,2,1,1
1,1,0,3,2-4,0,2,5,0,0,2,22914.8516294029,2,0,1
0,0,0,0,0-2,0,3,4,0,0,0,7732.461564301171,0,2,1
0,1,0,3,2-4,0,2,7,0,0,0,43826.15385184145,2,0,2
0,1,1,3,2-4,1,4,8,1,0,1,32398.265656250016,3,1,3
1,1,1,3,2-4,1,4,8,1,0,2,67492.35174920285,3,0,1
0,1,1,6,>=6,0,4,8,1,1,0,39176.13695315005,2,0,2
0,0,0,2,2-4,0,2,7,0,0,1,23804.147049186475,0,2,0
0,1,1,3,2-4,0,3,6,0,0,0,29261.720568223314,3,0,3
0,1,1,5,4-6,1,4,8,1,1,0,35841.92561199365,1,1,1
1,1,0,6,>=6,0,1,6,0,0,1,36645.39626836821,1,0,2
0,0,0,3,2-4,0,1,6,0,0,0,7688.06935819405,2,1,1
1,1,0,3,2-4,0,0,7,0,0,1,39705.38971045302,2,0,0
0,1,0,4,4-6,0,1,4,0,0,0,6069.223195579496,0,0,1
0,0,0,1,0-2,1,1,4,0,0,0,23128.28741429774,0,2,1
1,0,0,2,2-4,0,1,4,0,0,0,21187.021847811407,1,0,3
0,1,0,4,4-6,1,2,6,0,0,1,12686.813388028047,1,0,1
1,0,0,3,2-4,0,3,7,0,0,0,9196.845848802575,1,0,2
0,0,0,1,0-2,0,0,5,0,0,0,32283.071336900794,0,0,3
0,1,1,5,4-6,1,3,7,0,0,2,42292.3564985464,2,0,2
0,0,0,0,0-2,0,2,6,0,0,1,28666.973299725363,0,1,1
1,0,0,5,4-6,0,1,3,0,0,0,49892.86104590265,2,0,1
1,0,1,2,2-4,1,4,8,1,0,0,43281.28274340838,2,0,1
0,1,1,3,2-4,1,2,7,0,0,3,48406.79959880364,1,2,1
0,0,1,2,2-4,0,1,5,0,0,0,29672.985325460737,2,4,2
0,0,1,2,2-4,0,3,9,0,0,0,0,1,2,1
1,1,1,4,4-6,1,4,8,1,0,1,39902.45429751574,2,0,2
1,0,1,2,2-4,0,1,6,0,1,0,63986.637306175835,2,0,1
0,0,0,2,2-4,0,2,3,0,0,0,7738.939035120617,0,3,2
1,0,0,3,2-4,1,2,5,0,0,0,18444.405505876195,1,1,0
1,1,1,5,4-6,1,3,7,0,1,2,81322.5683235692,2,0,3
1,0,1,10,>=6,0,4,8,1,1,1,28932.342470773216,3,1,2
0,1,1,3,2-4,1,2,5,0,0,0,31695.786792593615,3,0,3
1,0,1,6,>=6,1,3,9,0,0,1,38345.79403392675,3,0,3
1,1,0,4,4-6,0,2,6,0,0,1,7255.426533376016,1,0,3
0,1,1,4,4-6,0,3,7,0,1,0,44813.80960919676,2,2,3
0,0,0,0,0-2,0,3,6,0,0,1,35153.93381876182,0,2,2
0,1,0,1,0-2,0,2,8,0,0,1,35811.11017298461,0,0,2
1,1,0,2,2-4,0,2,5,0,0,1,40874.378008714935,2,0,1
1,0,0,1,0-2,1,1,7,0,0,0,41646.309344819616,1,0,1
0,1,0,1,0-2,0,1,5,0,1,1,20012.173324667227,1,0,0
1,1,1,4,4-6,1,4,8,1,1,1,31855.31138971796,2,0,1
0,1,1,1,0-2,1,1,7,0,0,0,17022.793222724194,0,1,1
0,0,1,4,4-6,1,1,8,0,1,0,37459.90915961989,2,1,2
1,0,0,1,0-2,1,2,6,0,0,0,24999.25959177057,2,1,1
1,0,0,3,2-4,0,3,5,0,0,3,39228.69126954544,1,0,0
0,0,1,4,4-6,0,3,7,0,0,0,48878.77442369505,0,0,1
1,0,0,4,4-6,1,0,3,0,0,0,36057.82258439285,0,0,2
1,1,1,10,>=6,1,3,8,0,1,0,62435.37896061194,2,0,2
1,1,1,3,2-4,1,3,8,0,1,0,52347.402171206035,2,0,2
1,0,1,4,4-6,1,2,7,0,0,0,37093.940095121514,2,0,2
1,1,1,4,4-6,1,2,5,0,0,2,36595.77617542787,3,0,3
0,0,0,2,2-4,0,1,6,0,0,0,36647.56365376208,0,0,2
0,0,1,3,2-4,1,3,9,0,1,0,42561.16724602517,0,0,3
0,1,1,4,4-6,1,2,6,0,0,1,48648.87882836764,0,0,1
1,1,0,5,4-6,1,2,6,0,1,0,45204.579827865804,1,2,2
0,1,1,5,4-6,1,3,8,0,1,1,44877.99340384961,2,0,2
1,0,1,5,4-6,0,3,7,0,0,1,22946.466782471114,3,2,2
1,1,1,5,4-6,1,3,9,0,0,1,39877.19362763989,3,0,3
1,1,1,8,>=6,1,3,8,0,0,2,28089.75087047643,3,0,2
0,0,0,7,>=6,0,4,10,0,1,0,14360.844790688852,1,4,1
0,1,1,4,4-6,0,3,10,0,1,1,23684.962870868676,1,1,2
0,0,0,2,2-4,0,0,3,0,0,1,18500.195137640898,0,1,0
0,1,0,1,0-2,0,3,8,0,0,1,11060.55474880544,1,2,2
0,1,1,5,4-6,1,2,6,0,1,1,52399.58789976788,2,0,2
0,1,1,7,>=6,0,3,5,0,1,1,34616.504339176485,2,0,3
1,1,1,2,2-4,1,2,6,0,0,1,47754.40119916293,3,0,3
0,1,0,0,0-2,1,0,6,0,0,1,45326.64445009468,0,1,2
1,0,0,2,2-4,1,2,4,0,0,1,18360.858829067784,2,1,2
1,0,1,6,>=6,1,1,5,0,0,1,27114.313015700653,3,0,3
0,1,0,1,0-2,0,2,6,0,1,0,39166.63701959505,1,0,1
0,1,1,5,4-6,0,3,5,0,0,0,58012.41525360341,0,0,2
0,1,0,1,0-2,0,1,3,0,0,0,13032.37969974838,2,0,1
1,1,1,4,4-6,1,3,7,0,0,0,46658.146056371435,3,0,1
0,1,1,5,4-6,1,3,5,0,1,0,51305.29228292248,3,0,3
0,1,1,7,>=6,1,4,10,1,1,0,25046.62405801629,2,1,2
0,1,1,3,2-4,1,3,8,0,0,0,69929.01629716533,0,1,3
1,1,1,3,2-4,0,2,6,0,0,0,46423.09191796965,3,0,2
1,1,0,1,0-2,1,2,2,0,1,2,34544.33691316563,3,0,1
0,1,1,6,>=6,0,4,8,1,0,1,33661.2155608188,3,0,2
0,1,0,2,2-4,0,1,6,0,0,0,34912.62792573309,0,0,1
0,0,0,3,2-4,0,2,6,0,0,1,0,0,0,0
1,1,1,3,2-4,1,3,4,0,0,0,42378.8231370404,3,0,2
0,1,1,6,>=6,1,3,7,0,0,0,3131.9820325358814,3,0,3
1,1,0,2,2-4,1,4,6,0,0,3,22425.798966244944,0,0,1
1,0,0,5,4-6,0,1,6,0,0,0,43760.36088165954,2,0,1
0,0,0,4,4-6,1,3,5,0,0,1,14806.372671010276,0,0,1
1,1,0,2,2-4,0,3,6,0,0,0,15706.359767410278,1,0,2
1,1,1,9,>=6,1,2,6,0,0,0,49502.740817823316,2,0,3
1,1,1,4,4-6,1,2,5,0,0,2,24434.75922098248,1,0,3
